Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.000	15.690	21.661	0.046167	-6.6140	-6.5415	-49.892	47.159	66.516	1999.0	-0.059426	1260.9	0.25569	liquid
92.000	15.690	21.626	0.046240	-6.5473	-6.4747	-49.162	47.411	67.146	1994.0	-0.058765	1209.1	0.25499	liquid
93.000	15.690	21.592	0.046314	-6.4799	-6.4073	-48.433	47.620	67.703	1988.6	-0.058185	1160.4	0.25428	liquid
94.000	15.690	21.557	0.046389	-6.4121	-6.3393	-47.706	47.790	68.193	1982.9	-0.057676	1114.5	0.25354	liquid
95.000	15.690	21.522	0.046464	-6.3438	-6.2709	-46.982	47.924	68.622	1977.0	-0.057230	1071.3	0.25280	liquid
96.000	15.690	21.487	0.046540	-6.2751	-6.2021	-46.261	48.026	68.996	1970.9	-0.056839	1030.5	0.25204	liquid
97.000	15.690	21.452	0.046617	-6.2061	-6.1329	-45.545	48.099	69.321	1964.7	-0.056496	992.02	0.25127	liquid
98.000	15.690	21.416	0.046694	-6.1367	-6.0635	-44.832	48.145	69.600	1958.3	-0.056196	955.71	0.25048	liquid
99.000	15.690	21.381	0.046771	-6.0671	-5.9937	-44.124	48.167	69.839	1951.7	-0.055933	921.41	0.24968	liquid
100.00	15.690	21.345	0.046849	-5.9973	-5.9238	-43.421	48.169	70.042	1945.1	-0.055704	888.98	0.24888	liquid
101.00	15.690	21.309	0.046928	-5.9273	-5.8537	-42.724	48.151	70.212	1938.4	-0.055503	858.30	0.24806	liquid
102.00	15.690	21.273	0.047007	-5.8571	-5.7834	-42.031	48.117	70.353	1931.6	-0.055328	829.26	0.24723	liquid
103.00	15.690	21.238	0.047087	-5.7869	-5.7130	-41.344	48.068	70.468	1924.7	-0.055176	801.74	0.24640	liquid
104.00	15.690	21.202	0.047166	-5.7165	-5.6425	-40.663	48.005	70.560	1917.7	-0.055043	775.65	0.24555	liquid
105.00	15.690	21.166	0.047247	-5.6460	-5.5719	-39.987	47.932	70.631	1910.8	-0.054928	750.89	0.24470	liquid
106.00	15.690	21.129	0.047327	-5.5755	-5.5012	-39.318	47.848	70.684	1903.7	-0.054827	727.38	0.24384	liquid
107.00	15.690	21.093	0.047408	-5.5049	-5.4305	-38.654	47.756	70.722	1896.6	-0.054740	705.04	0.24297	liquid
108.00	15.690	21.057	0.047490	-5.4343	-5.3598	-37.996	47.657	70.745	1889.5	-0.054664	683.79	0.24210	liquid
109.00	15.690	21.021	0.047572	-5.3637	-5.2890	-37.344	47.551	70.756	1882.4	-0.054597	663.56	0.24122	liquid
110.00	15.690	20.985	0.047654	-5.2930	-5.2183	-36.697	47.440	70.757	1875.3	-0.054539	644.30	0.24033	liquid
111.00	15.690	20.948	0.047737	-5.2224	-5.1475	-36.057	47.325	70.749	1868.1	-0.054487	625.94	0.23944	liquid
112.00	15.690	20.912	0.047819	-5.1518	-5.0768	-35.423	47.206	70.733	1860.9	-0.054441	608.43	0.23854	liquid
113.00	15.690	20.876	0.047903	-5.0812	-5.0060	-34.794	47.084	70.710	1853.7	-0.054400	591.72	0.23763	liquid
114.00	15.690	20.839	0.047986	-5.0106	-4.9353	-34.171	46.961	70.683	1846.4	-0.054362	575.75	0.23672	liquid
115.00	15.690	20.803	0.048071	-4.9401	-4.8647	-33.554	46.836	70.650	1839.2	-0.054328	560.50	0.23581	liquid
116.00	15.690	20.766	0.048155	-4.8696	-4.7940	-32.942	46.710	70.614	1831.9	-0.054295	545.90	0.23489	liquid
