Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
197.00	106.42	43.141	0.023180	0.039322	0.28600	0.19883	50.499	71.196	2121.3	-0.023641	563.43	0.82505	liquid
198.00	106.42	43.081	0.023212	0.11022	0.35724	0.55954	50.457	71.284	2112.2	-0.023546	551.43	0.82160	liquid
199.00	106.42	43.020	0.023245	0.18120	0.42857	0.91887	50.414	71.373	2103.2	-0.023450	539.81	0.81816	liquid
200.00	106.42	42.960	0.023278	0.25227	0.49999	1.2769	50.372	71.464	2094.4	-0.023353	528.56	0.81472	liquid
201.00	106.42	42.899	0.023311	0.32343	0.57150	1.6335	50.330	71.555	2085.8	-0.023256	517.67	0.81127	liquid
202.00	106.42	42.837	0.023344	0.39467	0.64310	1.9889	50.288	71.648	2077.2	-0.023158	507.12	0.80783	liquid
203.00	106.42	42.776	0.023378	0.46601	0.71480	2.3429	50.246	71.741	2068.9	-0.023060	496.89	0.80439	liquid
204.00	106.42	42.714	0.023411	0.53744	0.78658	2.6957	50.205	71.834	2060.6	-0.022961	486.98	0.80094	liquid
205.00	106.42	42.652	0.023445	0.60896	0.85846	3.0472	50.163	71.928	2052.4	-0.022862	477.37	0.79750	liquid
206.00	106.42	42.590	0.023480	0.68057	0.93044	3.3974	50.123	72.023	2044.4	-0.022762	468.05	0.79406	liquid
207.00	106.42	42.527	0.023514	0.75227	1.0025	3.7464	50.082	72.118	2036.4	-0.022662	459.02	0.79062	liquid
208.00	106.42	42.465	0.023549	0.82407	1.0747	4.0942	50.042	72.212	2028.5	-0.022562	450.25	0.78718	liquid
209.00	106.42	42.402	0.023584	0.89595	1.1469	4.4408	50.002	72.307	2020.8	-0.022461	441.75	0.78374	liquid
210.00	106.42	42.338	0.023619	0.96793	1.2193	4.7861	49.963	72.402	2013.0	-0.022360	433.50	0.78030	liquid
211.00	106.42	42.275	0.023655	1.0400	1.2917	5.1303	49.924	72.497	2005.4	-0.022260	425.48	0.77687	liquid
212.00	106.42	42.211	0.023691	1.1122	1.3643	5.4733	49.885	72.592	1997.9	-0.022158	417.70	0.77344	liquid
213.00	106.42	42.147	0.023727	1.1844	1.4369	5.8152	49.846	72.687	1990.4	-0.022057	410.15	0.77001	liquid
214.00	106.42	42.083	0.023763	1.2568	1.5097	6.1558	49.809	72.781	1982.9	-0.021956	402.81	0.76658	liquid
215.00	106.42	42.018	0.023799	1.3292	1.5825	6.4954	49.771	72.875	1975.6	-0.021854	395.67	0.76316	liquid
