Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
196.00	36.490	43.072	0.023217	0.012512	0.097231	0.063736	50.166	71.437	2123.0	-0.023461	561.05	0.82110	liquid
197.00	36.490	43.011	0.023250	0.083874	0.16871	0.42751	50.132	71.527	2113.2	-0.023365	548.86	0.81760	liquid
198.00	36.490	42.949	0.023283	0.15533	0.24029	0.78991	50.098	71.619	2103.7	-0.023267	537.06	0.81411	liquid
199.00	36.490	42.887	0.023317	0.22687	0.31195	1.1509	50.063	71.712	2094.3	-0.023169	525.65	0.81062	liquid
200.00	36.490	42.825	0.023351	0.29850	0.38371	1.5106	50.028	71.805	2085.0	-0.023070	514.60	0.80713	liquid
201.00	36.490	42.763	0.023385	0.37023	0.45556	1.8690	49.993	71.900	2076.0	-0.022970	503.90	0.80363	liquid
202.00	36.490	42.700	0.023419	0.44205	0.52751	2.2261	49.958	71.995	2067.0	-0.022870	493.54	0.80014	liquid
203.00	36.490	42.637	0.023454	0.51397	0.59955	2.5818	49.923	72.091	2058.2	-0.022769	483.50	0.79665	liquid
204.00	36.490	42.574	0.023488	0.58598	0.67169	2.9363	49.888	72.188	2049.5	-0.022668	473.77	0.79316	liquid
205.00	36.490	42.511	0.023523	0.65809	0.74393	3.2896	49.852	72.284	2041.0	-0.022566	464.35	0.78967	liquid
206.00	36.490	42.447	0.023559	0.73030	0.81626	3.6415	49.817	72.382	2032.5	-0.022464	455.21	0.78618	liquid
207.00	36.490	42.383	0.023594	0.80260	0.88869	3.9923	49.782	72.479	2024.2	-0.022361	446.35	0.78269	liquid
208.00	36.490	42.319	0.023630	0.87499	0.96122	4.3418	49.747	72.577	2015.9	-0.022258	437.76	0.77921	liquid
209.00	36.490	42.254	0.023666	0.94749	1.0338	4.6902	49.713	72.674	2007.8	-0.022154	429.43	0.77573	liquid
210.00	36.490	42.190	0.023702	1.0201	1.1066	5.0373	49.678	72.772	1999.7	-0.022051	421.34	0.77224	liquid
211.00	36.490	42.125	0.023739	1.0928	1.1794	5.3832	49.644	72.870	1991.7	-0.021947	413.49	0.76877	liquid
212.00	36.490	42.059	0.023776	1.1655	1.2523	5.7280	49.609	72.967	1983.8	-0.021843	405.87	0.76529	liquid
213.00	36.490	41.994	0.023813	1.2384	1.3253	6.0716	49.575	73.064	1975.9	-0.021738	398.47	0.76182	liquid
214.00	36.490	41.928	0.023850	1.3114	1.3984	6.4140	49.541	73.161	1968.1	-0.021634	391.29	0.75835	liquid
215.00	36.490	41.862	0.023888	1.3845	1.4716	6.7554	49.508	73.258	1960.4	-0.021529	384.31	0.75488	liquid
216.00	36.490	41.796	0.023926	1.4576	1.5450	7.0955	49.474	73.355	1952.8	-0.021424	377.52	0.75142	liquid
217.00	36.490	41.729	0.023964	1.5309	1.6184	7.4346	49.441	73.450	1945.1	-0.021318	370.93	0.74796	liquid
218.00	36.490	41.662	0.024002	1.6043	1.6919	7.7725	49.408	73.546	1937.6	-0.021213	364.53	0.74451	liquid
219.00	36.490	41.595	0.024041	1.6777	1.7654	8.1093	49.375	73.641	1930.1	-0.021107	358.29	0.74106	liquid
220.00	36.490	41.528	0.024080	1.7513	1.8391	8.4450	49.342	73.736	1922.6	-0.021001	352.24	0.73761	liquid
221.00	36.490	41.461	0.024119	1.8249	1.9129	8.7796	49.310	73.830	1915.2	-0.020895	346.34	0.73417	liquid
222.00	36.490	41.393	0.024159	1.8986	1.9868	9.1132	49.277	73.923	1907.8	-0.020788	340.61	0.73073	liquid
223.00	36.490	41.325	0.024198	1.9725	2.0608	9.4456	49.245	74.016	1900.4	-0.020682	335.02	0.72730	liquid
224.00	36.490	41.257	0.024238	2.0464	2.1348	9.7770	49.213	74.109	1893.1	-0.020575	329.59	0.72387	liquid
225.00	36.490	41.188	0.024279	2.1204	2.2090	10.107	49.181	74.200	1885.8	-0.020468	324.30	0.72045	liquid
226.00	36.490	41.120	0.024319	2.1945	2.2832	10.437	49.150	74.292	1878.6	-0.020360	319.15	0.71704	liquid
227.00	36.490	41.051	0.024360	2.2687	2.3576	10.765	49.118	74.382	1871.3	-0.020252	314.13	0.71363	liquid
228.00	36.490	40.982	0.024401	2.3430	2.4320	11.092	49.087	74.472	1864.1	-0.020144	309.24	0.71023	liquid
229.00	36.490	40.912	0.024443	2.4173	2.5065	11.418	49.056	74.561	1856.9	-0.020036	304.47	0.70683	liquid
230.00	36.490	40.843	0.024484	2.4918	2.5811	11.743	49.024	74.650	1849.8	-0.019927	299.83	0.70344	liquid
231.00	36.490	40.773	0.024526	2.5663	2.6558	12.067	48.994	74.738	1842.6	-0.019818	295.30	0.70005	liquid
232.00	36.490	40.703	0.024568	2.6409	2.7306	12.390	48.963	74.826	1835.5	-0.019708	290.88	0.69667	liquid
233.00	36.490	40.633	0.024611	2.7157	2.8055	12.712	48.932	74.913	1828.4	-0.019598	286.58	0.69330	liquid
234.00	36.490	40.562	0.024653	2.7905	2.8804	13.033	48.901	74.999	1821.3	-0.019487	282.37	0.68994	liquid
235.00	36.490	40.492	0.024697	2.8653	2.9555	13.353	48.871	75.085	1814.3	-0.019376	278.27	0.68658	liquid
236.00	36.490	40.421	0.024740	2.9403	3.0306	13.672	48.841	75.170	1807.2	-0.019264	274.27	0.68323	liquid
237.00	36.490	40.349	0.024783	3.0154	3.1058	13.990	48.810	75.255	1800.2	-0.019152	270.36	0.67988	liquid
238.00	36.490	40.278	0.024827	3.0905	3.1811	14.307	48.780	75.339	1793.1	-0.019039	266.54	0.67655	liquid
239.00	36.490	40.207	0.024872	3.1657	3.2565	14.623	48.750	75.423	1786.1	-0.018926	262.82	0.67322	liquid
240.00	36.490	40.135	0.024916	3.2410	3.3319	14.938	48.720	75.506	1779.1	-0.018811	259.17	0.66989	liquid
241.00	36.490	40.063	0.024961	3.3164	3.4075	15.253	48.690	75.589	1772.1	-0.018697	255.61	0.66658	liquid
242.00	36.490	39.991	0.025006	3.3919	3.4831	15.566	48.660	75.672	1765.1	-0.018581	252.14	0.66327	liquid
243.00	36.490	39.918	0.025051	3.4674	3.5588	15.878	48.630	75.754	1758.1	-0.018464	248.74	0.65997	liquid
