Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
244.00	36.490	39.845	0.025097	3.5430	3.6346	16.189	48.600	75.836	1751.1	-0.018347	245.41	0.65668	liquid
245.00	36.490	39.773	0.025143	3.6188	3.7105	16.500	48.571	75.917	1744.1	-0.018229	242.16	0.65340	liquid
246.00	36.490	39.699	0.025189	3.6945	3.7865	16.809	48.541	75.998	1737.1	-0.018109	238.98	0.65012	liquid
247.00	36.490	39.626	0.025236	3.7704	3.8625	17.117	48.512	76.079	1730.2	-0.017989	235.87	0.64686	liquid
248.00	36.490	39.553	0.025283	3.8464	3.9386	17.425	48.482	76.159	1723.2	-0.017868	232.82	0.64360	liquid
249.00	36.490	39.479	0.025330	3.9224	4.0148	17.732	48.453	76.240	1716.2	-0.017746	229.84	0.64034	liquid
250.00	36.490	39.405	0.025378	3.9985	4.0911	18.037	48.423	76.320	1709.3	-0.017622	226.92	0.63710	liquid
251.00	36.490	39.331	0.025425	4.0747	4.1675	18.342	48.394	76.400	1702.3	-0.017498	224.06	0.63387	liquid
252.00	36.490	39.256	0.025474	4.1509	4.2439	18.646	48.365	76.480	1695.3	-0.017372	221.26	0.63064	liquid
253.00	36.490	39.182	0.025522	4.2273	4.3204	18.949	48.335	76.560	1688.4	-0.017245	218.52	0.62742	liquid
254.00	36.490	39.107	0.025571	4.3037	4.3970	19.251	48.306	76.640	1681.4	-0.017117	215.83	0.62421	liquid
255.00	36.490	39.032	0.025620	4.3802	4.4737	19.553	48.277	76.720	1674.4	-0.016987	213.19	0.62101	liquid
256.00	36.490	38.956	0.025670	4.4568	4.5505	19.853	48.248	76.800	1667.5	-0.016856	210.61	0.61781	liquid
257.00	36.490	38.881	0.025720	4.5334	4.6273	20.153	48.219	76.880	1660.5	-0.016723	208.08	0.61463	liquid
258.00	36.490	38.805	0.025770	4.6102	4.7042	20.451	48.190	76.961	1653.5	-0.016589	205.59	0.61145	liquid
259.00	36.490	38.729	0.025820	4.6870	4.7812	20.749	48.161	77.041	1646.5	-0.016454	203.16	0.60828	liquid
260.00	36.490	38.653	0.025871	4.7639	4.8583	21.046	48.132	77.122	1639.6	-0.016316	200.76	0.60512	liquid
261.00	36.490	38.576	0.025923	4.8409	4.9355	21.343	48.104	77.203	1632.6	-0.016177	198.42	0.60197	liquid
262.00	36.490	38.500	0.025974	4.9179	5.0127	21.638	48.075	77.285	1625.6	-0.016036	196.12	0.59882	liquid
263.00	36.490	38.423	0.026026	4.9951	5.0900	21.932	48.046	77.366	1618.6	-0.015894	193.86	0.59568	liquid
264.00	36.490	38.345	0.026079	5.0723	5.1674	22.226	48.018	77.449	1611.6	-0.015749	191.64	0.59256	liquid
265.00	36.490	38.268	0.026131	5.1496	5.2449	22.519	47.989	77.531	1604.6	-0.015602	189.46	0.58944	liquid
266.00	36.490	38.190	0.026185	5.2270	5.3225	22.811	47.961	77.615	1597.6	-0.015454	187.31	0.58633	liquid
267.00	36.490	38.112	0.026238	5.3044	5.4002	23.103	47.932	77.698	1590.6	-0.015303	185.21	0.58322	liquid
268.00	36.490	38.034	0.026292	5.3820	5.4779	23.393	47.904	77.783	1583.5	-0.015151	183.14	0.58013	liquid
269.00	36.490	37.956	0.026346	5.4596	5.5557	23.683	47.876	77.868	1576.5	-0.014996	181.11	0.57704	liquid
270.00	36.490	37.877	0.026401	5.5373	5.6336	23.972	47.848	77.954	1569.4	-0.014838	179.11	0.57396	liquid
271.00	36.490	37.798	0.026456	5.6151	5.7116	24.261	47.820	78.041	1562.4	-0.014679	177.15	0.57089	liquid
272.00	36.490	37.719	0.026512	5.6930	5.7897	24.548	47.792	78.128	1555.3	-0.014516	175.22	0.56783	liquid
273.00	36.490	37.639	0.026568	5.7709	5.8679	24.835	47.764	78.216	1548.3	-0.014352	173.32	0.56478	liquid
274.00	36.490	37.560	0.026624	5.8490	5.9462	25.121	47.736	78.306	1541.2	-0.014184	171.45	0.56173	liquid
275.00	36.490	37.480	0.026681	5.9271	6.0245	25.407	47.709	78.396	1534.1	-0.014015	169.61	0.55869	liquid
276.00	36.490	37.399	0.026738	6.0054	6.1029	25.691	47.681	78.488	1527.0	-0.013842	167.80	0.55566	liquid
277.00	36.490	37.319	0.026796	6.0837	6.1815	25.975	47.654	78.580	1519.9	-0.013666	166.02	0.55264	liquid
278.00	36.490	37.238	0.026854	6.1621	6.2601	26.259	47.627	78.674	1512.7	-0.013488	164.27	0.54962	liquid
279.00	36.490	37.157	0.026913	6.2406	6.3388	26.541	47.599	78.769	1505.6	-0.013306	162.54	0.54662	liquid
280.00	36.490	37.075	0.026972	6.3192	6.4176	26.823	47.573	78.865	1498.4	-0.013122	160.84	0.54362	liquid
281.00	36.490	36.994	0.027032	6.3979	6.4966	27.105	47.546	78.963	1491.3	-0.012934	159.16	0.54062	liquid
282.00	36.490	36.911	0.027092	6.4767	6.5756	27.386	47.519	79.062	1484.1	-0.012742	157.51	0.53764	liquid
283.00	36.490	36.829	0.027152	6.5556	6.6547	27.666	47.493	79.163	1476.9	-0.012548	155.89	0.53466	liquid
284.00	36.490	36.746	0.027214	6.6346	6.7339	27.945	47.466	79.265	1469.7	-0.012350	154.28	0.53169	liquid
285.00	36.490	36.663	0.027275	6.7137	6.8132	28.224	47.440	79.369	1462.5	-0.012148	152.71	0.52873	liquid
286.00	36.490	36.580	0.027337	6.7929	6.8926	28.502	47.414	79.474	1455.2	-0.011942	151.15	0.52577	liquid
287.00	36.490	36.496	0.027400	6.8722	6.9722	28.780	47.388	79.582	1447.9	-0.011733	149.61	0.52282	liquid
288.00	36.490	36.412	0.027463	6.9516	7.0518	29.057	47.363	79.691	1440.7	-0.011520	148.10	0.51988	liquid
289.00	36.490	36.328	0.027527	7.0311	7.1315	29.333	47.337	79.802	1433.4	-0.011302	146.61	0.51695	liquid
290.00	36.490	36.243	0.027591	7.1107	7.2114	29.609	47.312	79.915	1426.1	-0.011081	145.13	0.51402	liquid
291.00	36.490	36.158	0.027656	7.1905	7.2914	29.884	47.287	80.031	1418.7	-0.010855	143.68	0.51110	liquid
292.00	36.490	36.073	0.027722	7.2703	7.3715	30.159	47.262	80.148	1411.4	-0.010624	142.25	0.50818	liquid
293.00	36.490	35.987	0.027788	7.3503	7.4517	30.433	47.238	80.268	1404.0	-0.010389	140.83	0.50528	liquid
294.00	36.490	35.901	0.027854	7.4304	7.5320	30.707	47.213	80.390	1396.6	-0.010149	139.44	0.50237	liquid
295.00	36.490	35.814	0.027922	7.5106	7.6125	30.980	47.189	80.515	1389.2	-0.0099046	138.06	0.49948	liquid
296.00	36.490	35.728	0.027990	7.5909	7.6930	31.253	47.165	80.642	1381.8	-0.0096549	136.70	0.49659	liquid
297.00	36.490	35.640	0.028058	7.6714	7.7737	31.525	47.142	80.772	1374.3	-0.0093999	135.35	0.49371	liquid
298.00	36.490	35.552	0.028127	7.7519	7.8546	31.797	47.119	80.904	1366.8	-0.0091396	134.02	0.49083	liquid
299.00	36.490	35.464	0.028197	7.8327	7.9355	32.068	47.096	81.040	1359.3	-0.0088737	132.71	0.48796	liquid
300.00	36.490	35.376	0.028268	7.9135	8.0167	32.339	47.073	81.178	1351.8	-0.0086022	131.42	0.48509	liquid
301.00	36.490	35.287	0.028339	7.9945	8.0979	32.609	47.051	81.319	1344.2	-0.0083247	130.14	0.48223	liquid
302.00	36.490	35.197	0.028411	8.0756	8.1793	32.879	47.029	81.464	1336.7	-0.0080412	128.87	0.47938	liquid
303.00	36.490	35.107	0.028484	8.1569	8.2608	33.148	47.007	81.612	1329.1	-0.0077514	127.62	0.47653	liquid
304.00	36.490	35.017	0.028558	8.2383	8.3425	33.418	46.986	81.763	1321.4	-0.0074551	126.39	0.47368	liquid
305.00	36.490	34.926	0.028632	8.3199	8.4244	33.686	46.965	81.918	1313.8	-0.0071521	125.16	0.47084	liquid
306.00	36.490	34.835	0.028707	8.4016	8.5064	33.955	46.944	82.077	1306.1	-0.0068422	123.95	0.46801	liquid
307.00	36.490	34.743	0.028783	8.4835	8.5885	34.223	46.924	82.240	1298.4	-0.0065252	122.76	0.46518	liquid
308.00	36.490	34.651	0.028859	8.5655	8.6708	34.491	46.904	82.406	1290.6	-0.0062008	121.58	0.46235	liquid
309.00	36.490	34.558	0.028937	8.6477	8.7533	34.758	46.885	82.577	1282.8	-0.0058688	120.41	0.45953	liquid
310.00	36.490	34.464	0.029015	8.7301	8.8360	35.025	46.866	82.752	1275.0	-0.0055289	119.25	0.45672	liquid
311.00	36.490	34.371	0.029095	8.8127	8.9188	35.292	46.848	82.931	1267.2	-0.0051808	118.11	0.45390	liquid
312.00	36.490	34.276	0.029175	8.8954	9.0019	35.558	46.830	83.115	1259.3	-0.0048243	116.98	0.45109	liquid
313.00	36.490	34.181	0.029256	8.9783	9.0851	35.825	46.812	83.304	1251.4	-0.0044591	115.85	0.44829	liquid
314.00	36.490	34.085	0.029338	9.0614	9.1685	36.091	46.795	83.498	1243.4	-0.0040848	114.74	0.44549	liquid
315.00	36.490	33.989	0.029421	9.1447	9.2521	36.356	46.778	83.697	1235.4	-0.0037011	113.65	0.44269	liquid
316.00	36.490	33.892	0.029505	9.2282	9.3359	36.622	46.762	83.901	1227.4	-0.0033078	112.56	0.43989	liquid
317.00	36.490	33.795	0.029590	9.3119	9.4199	36.888	46.747	84.111	1219.3	-0.0029043	111.48	0.43710	liquid
318.00	36.490	33.697	0.029677	9.3958	9.5041	37.153	46.732	84.327	1211.2	-0.0024905	110.41	0.43431	liquid
319.00	36.490	33.598	0.029764	9.4799	9.5885	37.418	46.718	84.549	1203.1	-0.0020658	109.36	0.43152	liquid
320.00	36.490	33.498	0.029852	9.5643	9.6732	37.683	46.704	84.778	1194.9	-0.0016299	108.31	0.42874	liquid
321.00	36.490	33.398	0.029942	9.6488	9.7581	37.948	46.691	85.013	1186.6	-0.0011822	107.27	0.42596	liquid
322.00	36.490	33.297	0.030032	9.7336	9.8432	38.213	46.679	85.255	1178.3	-0.00072251	106.24	0.42318	liquid
323.00	36.490	33.196	0.030124	9.8187	9.9286	38.477	46.668	85.504	1170.0	-0.00025017	105.22	0.42040	liquid
324.00	36.490	33.093	0.030218	9.9040	10.014	38.742	46.657	85.761	1161.6	0.00023528	104.21	0.41762	liquid
325.00	36.490	32.990	0.030312	9.9895	10.100	39.007	46.647	86.025	1153.2	0.00073437	103.21	0.41484	liquid
326.00	36.490	32.886	0.030408	10.075	10.186	39.271	46.638	86.298	1144.7	0.0012477	102.21	0.41206	liquid
327.00	36.490	32.781	0.030505	10.161	10.273	39.536	46.629	86.580	1136.2	0.0017758	101.23	0.40929	liquid
328.00	36.490	32.675	0.030604	10.248	10.359	39.801	46.622	86.870	1127.6	0.0023193	100.25	0.40651	liquid
329.00	36.490	32.569	0.030704	10.334	10.446	40.066	46.615	87.170	1118.9	0.0028789	99.279	0.40374	liquid
330.00	36.490	32.461	0.030806	10.421	10.534	40.331	46.609	87.479	1110.2	0.0034554	98.315	0.40096	liquid
331.00	36.490	32.353	0.030909	10.509	10.621	40.596	46.605	87.799	1101.5	0.0040493	97.359	0.39818	liquid
332.00	36.490	32.243	0.031014	10.596	10.709	40.861	46.601	88.130	1092.6	0.0046617	96.410	0.39540	liquid
333.00	36.490	32.133	0.031121	10.684	10.798	41.127	46.598	88.473	1083.7	0.0052932	95.467	0.39262	liquid
334.00	36.490	32.021	0.031229	10.772	10.886	41.393	46.597	88.827	1074.8	0.0059448	94.531	0.38984	liquid
335.00	36.490	31.908	0.031340	10.861	10.975	41.659	46.597	89.194	1065.7	0.0066175	93.601	0.38705	liquid
336.00	36.490	31.795	0.031452	10.950	11.065	41.925	46.598	89.575	1056.6	0.0073123	92.677	0.38427	liquid
337.00	36.490	31.680	0.031566	11.039	11.154	42.192	46.600	89.969	1047.5	0.0080303	91.759	0.38147	liquid
338.00	36.490	31.564	0.031682	11.129	11.245	42.459	46.604	90.378	1038.2	0.0087726	90.846	0.37868	liquid
339.00	36.490	31.446	0.031800	11.219	11.335	42.727	46.609	90.804	1028.9	0.0095405	89.939	0.37588	liquid
340.00	36.490	31.328	0.031921	11.310	11.426	42.995	46.615	91.245	1019.5	0.010335	89.036	0.37308	liquid
341.00	36.490	31.208	0.032044	11.401	11.518	43.264	46.624	91.705	1009.9	0.011159	88.139	0.37027	liquid
342.00	36.490	31.086	0.032169	11.492	11.610	43.533	46.633	92.183	1000.3	0.012012	87.245	0.36745	liquid
343.00	36.490	30.963	0.032296	11.584	11.702	43.803	46.645	92.681	990.65	0.012897	86.357	0.36463	liquid
344.00	36.490	30.839	0.032427	11.677	11.795	44.073	46.659	93.201	980.86	0.013816	85.472	0.36180	liquid
345.00	36.490	30.713	0.032560	11.770	11.889	44.345	46.674	93.743	970.96	0.014770	84.590	0.35896	liquid
346.00	36.490	30.585	0.032696	11.863	11.983	44.617	46.692	94.309	960.96	0.015762	83.713	0.35611	liquid
347.00	36.490	30.455	0.032835	11.957	12.077	44.890	46.712	94.901	950.85	0.016794	82.838	0.35326	liquid
347.40	36.490	30.403	0.032892	11.995	12.115	45.000	46.721	95.148	946.74	0.017222	82.486	0.35210	liquid
347.40	36.490	1.7246	0.57983	25.534	27.650	89.716	45.391	84.347	390.63	1.4510	11.665	0.036064	vapor
348.00	36.490	1.7155	0.58291	25.573	27.700	89.860	45.120	83.328	391.79	1.4445	11.691	0.036104	vapor
349.00	36.490	1.7007	0.58800	25.637	27.783	90.097	44.683	81.713	393.68	1.4336	11.736	0.036175	vapor
350.00	36.490	1.6864	0.59300	25.700	27.864	90.329	44.269	80.202	395.53	1.4229	11.781	0.036249	vapor
351.00	36.490	1.6725	0.59791	25.761	27.943	90.555	43.874	78.787	397.34	1.4122	11.826	0.036325	vapor
352.00	36.490	1.6591	0.60274	25.822	28.021	90.778	43.497	77.457	399.11	1.4016	11.870	0.036404	vapor
353.00	36.490	1.6461	0.60750	25.881	28.098	90.996	43.139	76.206	400.84	1.3912	11.914	0.036485	vapor
354.00	36.490	1.6335	0.61219	25.940	28.174	91.209	42.796	75.026	402.54	1.3808	11.959	0.036568	vapor
355.00	36.490	1.6212	0.61682	25.997	28.248	91.419	42.469	73.912	404.20	1.3706	12.003	0.036654	vapor
356.00	36.490	1.6093	0.62138	26.054	28.321	91.626	42.156	72.859	405.83	1.3604	12.047	0.036742	vapor
357.00	36.490	1.5978	0.62588	26.110	28.394	91.829	41.857	71.861	407.43	1.3504	12.091	0.036832	vapor
358.00	36.490	1.5865	0.63032	26.165	28.465	92.029	41.571	70.915	409.00	1.3404	12.135	0.036924	vapor
359.00	36.490	1.5755	0.63471	26.220	28.536	92.225	41.297	70.016	410.55	1.3305	12.179	0.037017	vapor
360.00	36.490	1.5648	0.63905	26.273	28.605	92.419	41.034	69.161	412.06	1.3208	12.223	0.037113	vapor
361.00	36.490	1.5544	0.64334	26.326	28.674	92.609	40.782	68.348	413.56	1.3111	12.266	0.037210	vapor
362.00	36.490	1.5442	0.64758	26.379	28.742	92.797	40.541	67.573	415.02	1.3015	12.310	0.037309	vapor
363.00	36.490	1.5343	0.65177	26.431	28.809	92.983	40.309	66.834	416.47	1.2919	12.354	0.037409	vapor
364.00	36.490	1.5246	0.65593	26.482	28.876	93.166	40.087	66.128	417.89	1.2825	12.397	0.037512	vapor
365.00	36.490	1.5151	0.66004	26.533	28.941	93.346	39.873	65.454	419.29	1.2732	12.441	0.037615	vapor
366.00	36.490	1.5058	0.66411	26.583	29.006	93.524	39.668	64.809	420.68	1.2639	12.484	0.037721	vapor
367.00	36.490	1.4967	0.66814	26.633	29.071	93.700	39.471	64.191	422.04	1.2547	12.527	0.037828	vapor
368.00	36.490	1.4878	0.67214	26.682	29.135	93.874	39.281	63.600	423.38	1.2456	12.570	0.037936	vapor
369.00	36.490	1.4791	0.67610	26.731	29.198	94.046	39.099	63.033	424.71	1.2366	12.614	0.038045	vapor
370.00	36.490	1.4705	0.68003	26.780	29.261	94.216	38.924	62.489	426.02	1.2277	12.657	0.038157	vapor
371.00	36.490	1.4622	0.68392	26.828	29.323	94.384	38.755	61.967	427.31	1.2188	12.700	0.038269	vapor
372.00	36.490	1.4539	0.68779	26.875	29.385	94.550	38.593	61.466	428.58	1.2100	12.743	0.038383	vapor
373.00	36.490	1.4459	0.69162	26.922	29.446	94.714	38.437	60.984	429.84	1.2013	12.786	0.038498	vapor
374.00	36.490	1.4380	0.69542	26.969	29.507	94.877	38.287	60.520	431.08	1.1927	12.828	0.038615	vapor
375.00	36.490	1.4302	0.69920	27.016	29.567	95.038	38.142	60.075	432.31	1.1842	12.871	0.038732	vapor
376.00	36.490	1.4226	0.70295	27.062	29.627	95.197	38.003	59.645	433.53	1.1757	12.914	0.038851	vapor
377.00	36.490	1.4151	0.70667	27.108	29.686	95.355	37.868	59.232	434.73	1.1673	12.957	0.038972	vapor
378.00	36.490	1.4077	0.71037	27.153	29.745	95.512	37.739	58.834	435.92	1.1590	12.999	0.039094	vapor
379.00	36.490	1.4005	0.71404	27.199	29.804	95.666	37.615	58.450	437.09	1.1508	13.042	0.039217	vapor
380.00	36.490	1.3934	0.71768	27.244	29.862	95.820	37.495	58.079	438.25	1.1426	13.084	0.039341	vapor
381.00	36.490	1.3864	0.72131	27.288	29.920	95.972	37.379	57.722	439.40	1.1345	13.127	0.039467	vapor
382.00	36.490	1.3795	0.72491	27.333	29.978	96.123	37.268	57.377	440.54	1.1265	13.169	0.039594	vapor
383.00	36.490	1.3727	0.72849	27.377	30.035	96.273	37.161	57.044	441.67	1.1185	13.212	0.039722	vapor
384.00	36.490	1.3660	0.73204	27.421	30.092	96.421	37.057	56.722	442.78	1.1107	13.254	0.039852	vapor
385.00	36.490	1.3595	0.73558	27.464	30.149	96.568	36.958	56.411	443.89	1.1028	13.297	0.039983	vapor
386.00	36.490	1.3530	0.73910	27.508	30.205	96.714	36.862	56.111	444.98	1.0951	13.339	0.040116	vapor
387.00	36.490	1.3466	0.74259	27.551	30.261	96.859	36.769	55.820	446.06	1.0874	13.381	0.040250	vapor
388.00	36.490	1.3404	0.74607	27.594	30.316	97.002	36.680	55.539	447.14	1.0798	13.423	0.040387	vapor
389.00	36.490	1.3342	0.74953	27.637	30.372	97.145	36.595	55.267	448.20	1.0723	13.465	0.040524	vapor
390.00	36.490	1.3281	0.75297	27.679	30.427	97.287	36.512	55.004	449.25	1.0649	13.507	0.040664	vapor
391.00	36.490	1.3221	0.75640	27.722	30.482	97.427	36.432	54.749	450.30	1.0575	13.550	0.040806	vapor
392.00	36.490	1.3161	0.75980	27.764	30.536	97.567	36.356	54.502	451.33	1.0501	13.592	0.040950	vapor
393.00	36.490	1.3103	0.76319	27.806	30.591	97.705	36.282	54.263	452.36	1.0429	13.634	0.041096	vapor
394.00	36.490	1.3045	0.76657	27.848	30.645	97.843	36.211	54.031	453.38	1.0357	13.676	0.041246	vapor
395.00	36.490	1.2988	0.76992	27.889	30.699	97.979	36.142	53.807	454.39	1.0285	13.717	0.041398	vapor
396.00	36.490	1.2932	0.77327	27.931	30.753	98.115	36.076	53.589	455.39	1.0214	13.759	0.041555	vapor
397.00	36.490	1.2877	0.77659	27.972	30.806	98.250	36.013	53.378	456.39	1.0144	13.801	0.041716	vapor
398.00	36.490	1.2822	0.77991	28.013	30.859	98.384	35.952	53.174	457.37	1.0075	13.843	0.041882	vapor
399.00	36.490	1.2768	0.78321	28.055	30.912	98.517	35.893	52.975	458.35	1.0006	13.885	0.042056	vapor
400.00	36.490	1.2715	0.78649	28.095	30.965	98.650	35.837	52.783	459.32	0.99378	13.927	0.042238	vapor
401.00	36.490	1.2662	0.78976	28.136	31.018	98.781	35.782	52.596	460.28	0.98702	13.968	0.042432	vapor
402.00	36.490	1.2610	0.79302	28.177	31.070	98.912	35.730	52.415	461.24	0.98032	14.010	0.042641	vapor
403.00	36.490	1.2559	0.79626	28.217	31.123	99.042	35.680	52.239	462.19	0.97367	14.052	0.042870	vapor
404.00	36.490	1.2508	0.79950	28.258	31.175	99.171	35.632	52.068	463.13	0.96709	14.093	0.043114	vapor
405.00	36.490	1.2458	0.80271	28.298	31.227	99.300	35.586	51.903	464.07	0.96056	14.135	0.043252	vapor
406.00	36.490	1.2408	0.80592	28.338	31.279	99.428	35.542	51.742	465.00	0.95409	14.176	0.043384	vapor
407.00	36.490	1.2359	0.80912	28.378	31.330	99.555	35.499	51.585	465.92	0.94768	14.218	0.043471	vapor
408.00	36.490	1.2311	0.81230	28.418	31.382	99.681	35.458	51.433	466.84	0.94132	14.259	0.043482	vapor
409.00	36.490	1.2263	0.81547	28.458	31.433	99.807	35.419	51.286	467.75	0.93502	14.301	0.043512	vapor
410.00	36.490	1.2215	0.81863	28.497	31.485	99.932	35.382	51.143	468.65	0.92877	14.342	0.043563	vapor
411.00	36.490	1.2169	0.82178	28.537	31.536	100.06	35.346	51.004	469.55	0.92258	14.384	0.043628	vapor
412.00	36.490	1.2122	0.82492	28.576	31.587	100.18	35.312	50.868	470.44	0.91645	14.425	0.043705	vapor
413.00	36.490	1.2077	0.82805	28.616	31.637	100.30	35.279	50.737	471.33	0.91036	14.467	0.043790	vapor
