Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
92.000	45.750	21.662	0.046164	-6.5673	-6.3561	-49.382	47.352	66.946	2007.2	-0.058956	1242.1	0.25626	liquid
93.000	45.750	21.627	0.046238	-6.5004	-6.2888	-48.655	47.578	67.515	2001.7	-0.058365	1191.5	0.25556	liquid
94.000	45.750	21.593	0.046311	-6.4329	-6.2211	-47.930	47.763	68.015	1996.0	-0.057848	1143.9	0.25484	liquid
95.000	45.750	21.558	0.046386	-6.3650	-6.1528	-47.208	47.912	68.453	1990.1	-0.057394	1099.1	0.25411	liquid
96.000	45.750	21.524	0.046461	-6.2967	-6.0842	-46.489	48.026	68.836	1983.9	-0.056997	1056.9	0.25336	liquid
97.000	45.750	21.489	0.046536	-6.2281	-6.0152	-45.774	48.111	69.167	1977.6	-0.056650	1017.1	0.25260	liquid
98.000	45.750	21.454	0.046612	-6.1591	-5.9459	-45.063	48.167	69.453	1971.2	-0.056346	979.52	0.25183	liquid
99.000	45.750	21.418	0.046689	-6.0899	-5.8763	-44.357	48.199	69.697	1964.7	-0.056080	944.07	0.25105	liquid
100.00	45.750	21.383	0.046766	-6.0204	-5.8065	-43.655	48.209	69.904	1958.0	-0.055849	910.57	0.25026	liquid
101.00	45.750	21.348	0.046843	-5.9508	-5.7365	-42.959	48.200	70.078	1951.3	-0.055647	878.90	0.24946	liquid
102.00	45.750	21.312	0.046921	-5.8810	-5.6663	-42.268	48.173	70.223	1944.5	-0.055471	848.93	0.24864	liquid
103.00	45.750	21.277	0.047000	-5.8111	-5.5960	-41.582	48.130	70.340	1937.6	-0.055319	820.56	0.24782	liquid
104.00	45.750	21.241	0.047078	-5.7410	-5.5257	-40.902	48.074	70.435	1930.7	-0.055187	793.66	0.24699	liquid
105.00	45.750	21.206	0.047158	-5.6709	-5.4552	-40.228	48.006	70.508	1923.7	-0.055072	768.16	0.24615	liquid
106.00	45.750	21.170	0.047237	-5.6008	-5.3846	-39.559	47.927	70.562	1916.7	-0.054973	743.95	0.24531	liquid
107.00	45.750	21.134	0.047317	-5.5305	-5.3141	-38.896	47.840	70.601	1909.7	-0.054887	720.95	0.24445	liquid
