Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
530.00	37.900	0.89029	1.1232	30.687	34.944	108.82	73.654	84.394	396.41	0.23273	16.309	0.060904	vapor
531.00	37.900	0.88832	1.1257	30.762	35.029	108.98	73.766	84.493	396.84	0.23150	16.332	0.061092	vapor
532.00	37.900	0.88636	1.1282	30.837	35.113	109.14	73.878	84.592	397.28	0.23028	16.354	0.061280	vapor
533.00	37.900	0.88442	1.1307	30.912	35.198	109.30	73.990	84.691	397.71	0.22906	16.376	0.061468	vapor
534.00	37.900	0.88248	1.1332	30.988	35.283	109.46	74.102	84.789	398.14	0.22786	16.399	0.061656	vapor
535.00	37.900	0.88055	1.1357	31.063	35.367	109.62	74.213	84.888	398.57	0.22666	16.421	0.061845	vapor
536.00	37.900	0.87863	1.1381	31.139	35.452	109.78	74.325	84.987	399.00	0.22548	16.443	0.062033	vapor
537.00	37.900	0.87672	1.1406	31.214	35.537	109.94	74.436	85.086	399.43	0.22430	16.466	0.062222	vapor
538.00	37.900	0.87481	1.1431	31.290	35.622	110.10	74.548	85.185	399.86	0.22313	16.488	0.062411	vapor
539.00	37.900	0.87292	1.1456	31.366	35.708	110.25	74.659	85.284	400.28	0.22196	16.510	0.062600	vapor
540.00	37.900	0.87104	1.1481	31.442	35.793	110.41	74.770	85.383	400.71	0.22081	16.532	0.062789	vapor
541.00	37.900	0.86917	1.1505	31.518	35.878	110.57	74.881	85.481	401.13	0.21966	16.555	0.062979	vapor
542.00	37.900	0.86730	1.1530	31.594	35.964	110.73	74.992	85.580	401.56	0.21853	16.577	0.063169	vapor
543.00	37.900	0.86545	1.1555	31.670	36.050	110.89	75.103	85.679	401.98	0.21740	16.599	0.063358	vapor
544.00	37.900	0.86360	1.1579	31.747	36.135	111.04	75.213	85.778	402.41	0.21627	16.621	0.063548	vapor
545.00	37.900	0.86176	1.1604	31.823	36.221	111.20	75.324	85.877	402.83	0.21516	16.644	0.063739	vapor
546.00	37.900	0.85994	1.1629	31.900	36.307	111.36	75.434	85.975	403.25	0.21405	16.666	0.063929	vapor
547.00	37.900	0.85812	1.1653	31.977	36.393	111.52	75.545	86.074	403.67	0.21295	16.688	0.064119	vapor
548.00	37.900	0.85630	1.1678	32.053	36.479	111.67	75.655	86.173	404.09	0.21186	16.710	0.064310	vapor
549.00	37.900	0.85450	1.1703	32.130	36.566	111.83	75.765	86.272	404.51	0.21078	16.732	0.064501	vapor
550.00	37.900	0.85271	1.1727	32.207	36.652	111.99	75.875	86.370	404.93	0.20970	16.754	0.064692	vapor
551.00	37.900	0.85092	1.1752	32.284	36.738	112.14	75.985	86.469	405.35	0.20863	16.777	0.064883	vapor
552.00	37.900	0.84914	1.1777	32.361	36.825	112.30	76.094	86.568	405.76	0.20757	16.799	0.065074	vapor
553.00	37.900	0.84738	1.1801	32.439	36.911	112.46	76.204	86.666	406.18	0.20652	16.821	0.065265	vapor
554.00	37.900	0.84562	1.1826	32.516	36.998	112.61	76.314	86.765	406.60	0.20547	16.843	0.065457	vapor
555.00	37.900	0.84386	1.1850	32.594	37.085	112.77	76.423	86.864	407.01	0.20443	16.865	0.065649	vapor
556.00	37.900	0.84212	1.1875	32.671	37.172	112.93	76.532	86.962	407.43	0.20340	16.887	0.065841	vapor
557.00	37.900	0.84038	1.1899	32.749	37.259	113.08	76.642	87.061	407.84	0.20237	16.909	0.066033	vapor
558.00	37.900	0.83865	1.1924	32.827	37.346	113.24	76.751	87.159	408.25	0.20135	16.931	0.066225	vapor
559.00	37.900	0.83693	1.1948	32.905	37.433	113.40	76.860	87.258	408.66	0.20034	16.953	0.066417	vapor
560.00	37.900	0.83522	1.1973	32.983	37.520	113.55	76.969	87.356	409.08	0.19933	16.975	0.066610	vapor
561.00	37.900	0.83352	1.1997	33.061	37.608	113.71	77.077	87.455	409.49	0.19833	16.997	0.066802	vapor
562.00	37.900	0.83182	1.2022	33.139	37.695	113.86	77.186	87.553	409.90	0.19734	17.019	0.066995	vapor
563.00	37.900	0.83013	1.2046	33.217	37.783	114.02	77.295	87.651	410.31	0.19635	17.041	0.067188	vapor
564.00	37.900	0.82845	1.2071	33.296	37.871	114.18	77.403	87.750	410.72	0.19538	17.063	0.067381	vapor
565.00	37.900	0.82678	1.2095	33.374	37.958	114.33	77.511	87.848	411.12	0.19440	17.085	0.067574	vapor
566.00	37.900	0.82511	1.2120	33.453	38.046	114.49	77.620	87.946	411.53	0.19344	17.107	0.067768	vapor
567.00	37.900	0.82345	1.2144	33.532	38.134	114.64	77.728	88.045	411.94	0.19248	17.129	0.067961	vapor
568.00	37.900	0.82180	1.2168	33.611	38.222	114.80	77.836	88.143	412.34	0.19152	17.151	0.068155	vapor
569.00	37.900	0.82016	1.2193	33.690	38.311	114.95	77.944	88.241	412.75	0.19057	17.173	0.068348	vapor
570.00	37.900	0.81852	1.2217	33.769	38.399	115.11	78.051	88.339	413.15	0.18963	17.195	0.068542	vapor
571.00	37.900	0.81689	1.2242	33.848	38.487	115.26	78.159	88.437	413.56	0.18870	17.216	0.068736	vapor
572.00	37.900	0.81527	1.2266	33.927	38.576	115.42	78.266	88.535	413.96	0.18777	17.238	0.068931	vapor
573.00	37.900	0.81365	1.2290	34.006	38.664	115.57	78.374	88.633	414.36	0.18684	17.260	0.069125	vapor
574.00	37.900	0.81205	1.2315	34.086	38.753	115.73	78.481	88.731	414.77	0.18593	17.282	0.069319	vapor
575.00	37.900	0.81045	1.2339	34.165	38.842	115.88	78.588	88.829	415.17	0.18502	17.304	0.069514	vapor
576.00	37.900	0.80885	1.2363	34.245	38.931	116.04	78.695	88.927	415.57	0.18411	17.326	0.069709	vapor
577.00	37.900	0.80727	1.2388	34.325	39.020	116.19	78.802	89.025	415.97	0.18321	17.347	0.069903	vapor
578.00	37.900	0.80569	1.2412	34.405	39.109	116.34	78.909	89.122	416.37	0.18232	17.369	0.070098	vapor
579.00	37.900	0.80411	1.2436	34.485	39.198	116.50	79.016	89.220	416.77	0.18143	17.391	0.070294	vapor
580.00	37.900	0.80255	1.2460	34.565	39.287	116.65	79.122	89.318	417.17	0.18055	17.413	0.070489	vapor
581.00	37.900	0.80099	1.2485	34.645	39.377	116.81	79.229	89.415	417.56	0.17967	17.434	0.070684	vapor
582.00	37.900	0.79943	1.2509	34.725	39.466	116.96	79.335	89.513	417.96	0.17880	17.456	0.070880	vapor
583.00	37.900	0.79789	1.2533	34.806	39.556	117.11	79.442	89.610	418.36	0.17793	17.478	0.071075	vapor
584.00	37.900	0.79635	1.2557	34.886	39.645	117.27	79.548	89.708	418.75	0.17707	17.500	0.071271	vapor
585.00	37.900	0.79482	1.2582	34.967	39.735	117.42	79.654	89.805	419.15	0.17622	17.521	0.071467	vapor
586.00	37.900	0.79329	1.2606	35.047	39.825	117.57	79.760	89.903	419.54	0.17537	17.543	0.071663	vapor
587.00	37.900	0.79177	1.2630	35.128	39.915	117.73	79.866	90.000	419.94	0.17452	17.565	0.071859	vapor
588.00	37.900	0.79026	1.2654	35.209	40.005	117.88	79.971	90.097	420.33	0.17368	17.586	0.072055	vapor
589.00	37.900	0.78875	1.2678	35.290	40.095	118.03	80.077	90.194	420.72	0.17285	17.608	0.072252	vapor
590.00	37.900	0.78725	1.2702	35.371	40.185	118.19	80.182	90.292	421.12	0.17202	17.630	0.072448	vapor
591.00	37.900	0.78575	1.2727	35.452	40.276	118.34	80.288	90.389	421.51	0.17120	17.651	0.072645	vapor
592.00	37.900	0.78427	1.2751	35.534	40.366	118.49	80.393	90.486	421.90	0.17038	17.673	0.072841	vapor
593.00	37.900	0.78278	1.2775	35.615	40.457	118.65	80.498	90.583	422.29	0.16956	17.694	0.073038	vapor
594.00	37.900	0.78131	1.2799	35.696	40.547	118.80	80.603	90.680	422.68	0.16876	17.716	0.073235	vapor
595.00	37.900	0.77984	1.2823	35.778	40.638	118.95	80.708	90.776	423.07	0.16795	17.738	0.073432	vapor
596.00	37.900	0.77838	1.2847	35.860	40.729	119.10	80.813	90.873	423.46	0.16715	17.759	0.073629	vapor
597.00	37.900	0.77692	1.2871	35.941	40.820	119.26	80.918	90.970	423.85	0.16636	17.781	0.073827	vapor
598.00	37.900	0.77547	1.2895	36.023	40.911	119.41	81.022	91.067	424.23	0.16557	17.802	0.074024	vapor
599.00	37.900	0.77402	1.2920	36.105	41.002	119.56	81.127	91.163	424.62	0.16479	17.824	0.074221	vapor
600.00	37.900	0.77258	1.2944	36.187	41.093	119.71	81.231	91.260	425.01	0.16401	17.845	0.074419	vapor
601.00	37.900	0.77115	1.2968	36.270	41.184	119.87	81.335	91.356	425.39	0.16323	17.867	0.074617	vapor
602.00	37.900	0.76972	1.2992	36.352	41.276	120.02	81.439	91.453	425.78	0.16246	17.888	0.074814	vapor
603.00	37.900	0.76830	1.3016	36.434	41.367	120.17	81.543	91.549	426.16	0.16170	17.910	0.075012	vapor
604.00	37.900	0.76688	1.3040	36.517	41.459	120.32	81.647	91.646	426.55	0.16094	17.931	0.075210	vapor
605.00	37.900	0.76547	1.3064	36.599	41.551	120.47	81.751	91.742	426.93	0.16018	17.953	0.075408	vapor
606.00	37.900	0.76407	1.3088	36.682	41.642	120.62	81.855	91.838	427.32	0.15943	17.974	0.075606	vapor
607.00	37.900	0.76267	1.3112	36.765	41.734	120.78	81.958	91.934	427.70	0.15868	17.995	0.075804	vapor
608.00	37.900	0.76127	1.3136	36.848	41.826	120.93	82.062	92.030	428.08	0.15794	18.017	0.076002	vapor
609.00	37.900	0.75989	1.3160	36.931	41.918	121.08	82.165	92.127	428.46	0.15720	18.038	0.076200	vapor
610.00	37.900	0.75850	1.3184	37.014	42.010	121.23	82.268	92.223	428.84	0.15647	18.060	0.076398	vapor
611.00	37.900	0.75713	1.3208	37.097	42.103	121.38	82.371	92.318	429.22	0.15574	18.081	0.076595	vapor
612.00	37.900	0.75576	1.3232	37.180	42.195	121.53	82.474	92.414	429.60	0.15502	18.102	0.076794	vapor
613.00	37.900	0.75439	1.3256	37.264	42.288	121.68	82.577	92.510	429.98	0.15430	18.124	0.076994	vapor
614.00	37.900	0.75303	1.3280	37.347	42.380	121.83	82.680	92.606	430.36	0.15358	18.145	0.077194	vapor
615.00	37.900	0.75168	1.3304	37.431	42.473	121.98	82.783	92.701	430.74	0.15287	18.166	0.077393	vapor
616.00	37.900	0.75033	1.3328	37.514	42.566	122.13	82.885	92.797	431.12	0.15216	18.188	0.077593	vapor
617.00	37.900	0.74898	1.3351	37.598	42.658	122.29	82.988	92.893	431.50	0.15145	18.209	0.077793	vapor
618.00	37.900	0.74764	1.3375	37.682	42.751	122.44	83.090	92.988	431.87	0.15076	18.230	0.077993	vapor
619.00	37.900	0.74631	1.3399	37.766	42.844	122.59	83.192	93.083	432.25	0.15006	18.251	0.078193	vapor
620.00	37.900	0.74498	1.3423	37.850	42.937	122.74	83.294	93.179	432.63	0.14937	18.273	0.078394	vapor
621.00	37.900	0.74366	1.3447	37.934	43.031	122.89	83.396	93.274	433.00	0.14868	18.294	0.078594	vapor
622.00	37.900	0.74234	1.3471	38.019	43.124	123.04	83.498	93.369	433.38	0.14800	18.315	0.078795	vapor
623.00	37.900	0.74102	1.3495	38.103	43.217	123.19	83.600	93.464	433.75	0.14732	18.336	0.078995	vapor
624.00	37.900	0.73972	1.3519	38.187	43.311	123.34	83.702	93.559	434.12	0.14664	18.357	0.079196	vapor
625.00	37.900	0.73841	1.3543	38.272	43.405	123.49	83.803	93.654	434.50	0.14597	18.379	0.079397	vapor
